text,labels
In this project The room was tensed before the decision right now.,tensed
In this project. I feel sick and weak today. the tone feels cherish right now.,"love,sick"
In this project The argument escalated into a fight for our team.,fight
In this project the tone is courteous right now.,polite
During this week the tone is panic right now.,fear
In today's discussion He remained polite under pressure today.,polite
In this project. I am tensed and cannot relax. the tone feels unsafe for this case.,"fear,tensed"
From my perspective There is love and care in this message today.,love
In today's discussion. This makes me angry and I want immediate action. the tone feels expecting. the tone feels sweet for this release.,"anger,hopeful,sweet"
In this situation This result brings joy and excitement for this case.,joy
From my perspective The room was tensed before the decision for this case.,tensed
In this project the tone is anxious for this case.,worried
From my perspective I am grateful for your support right now.,grateful
In this project. the tone feels conflict. the tone feels rage for this case.,"anger,fight"
In this project The argument escalated into a fight today.,fight
In today's discussion I am scared this situation may get worse right now.,fear
In today's discussion I am grateful for your support right now.,grateful
During this week. the tone feels tender. They started a fight over a small issue today.,"fight,sweet"
"During this week It felt gentle, warm, and sweet today.",sweet
During this week the tone is threat for this release.,fear
In this project the tone is helpful for this case.,nice
During this week. the tone feels sweet. Thank you for the polite response. There is love and care in this message for this release.,"love,polite,sweet"
In this project There is fear about what could happen next for this release.,fear
In this situation We remain hopeful about recovery for our team.,hopeful
During this week. the tone feels empty. I am stressed by constant pressure for this release.,"depressed,stressed"
From my perspective I am grateful for your support for our team.,grateful
From my perspective the tone is settled for this release.,calm
During this week. There is constant drama around this issue. the tone feels affection for this release.,"drama,love"
In this situation This week feels depressing and heavy today.,depressed
In today's discussion Thank you for the polite response for this case.,polite
In today's discussion the tone is sad for this case.,sad
From my perspective I love how you supported me today for this case.,love
From my perspective Thank you for the polite response for this case.,polite
During this week They started a fight over a small issue for this case.,fight
In this situation. I am confused by conflicting instructions. I feel sick and weak today. Thank you for the polite response for this case.,"confused,polite,sick"
In this project I am scared this situation may get worse for this release.,fear
From my perspective the tone is overreaction for this case.,drama
In this situation the tone is unwell right now.,sick
In today's discussion. This process is frustrating and slow. I became emotional while reading this. the tone feels appreciate for our team.,"emotional,frustrated,grateful"
In this project I feel deeply sad about this loss today.,sad
In this project the tone is blessed today.,grateful
From my perspective the tone is fever for our team.,sick
During this week The patient looks sick and tired right now.,sick
In today's discussion. I am stressed by constant pressure. the tone feels love for this release.,"love,stressed"
From my perspective the tone is encouraged for this case.,hopeful
During this week We are thankful and grateful for your help for this release.,grateful
In this project the tone is mixed for our team.,confused
In today's discussion the tone is joy for this case.,joy
In this project The room was tensed before the decision today.,tensed
In today's discussion the tone is thank you today.,polite
During this week I am confused by conflicting instructions today.,confused
In this project. the tone feels thank you. This is a painful and sad moment right now.,"polite,sad"
From my perspective the tone is indebted for our team.,grateful
In today's discussion I am stressed by constant pressure for our team.,stressed
In today's discussion the tone is overreaction for our team.,drama
During this week I feel deeply sad about this loss right now.,sad
During this week the tone is angry for this case.,anger
During this week I am tensed and cannot relax for this release.,tensed
From my perspective the tone is anxious today.,worried
In today's discussion. I became emotional while reading this. the tone feels helpful for this release.,"emotional,nice"
In this project I love how you supported me today for our team.,love
In today's discussion This process is frustrating and slow for this case.,frustrated
From my perspective the tone is furious for our team.,anger
In this project I love how you supported me today for this release.,love
In today's discussion the tone is strained today.,tensed
During this week This result brings joy and excitement today.,joy
In this project the tone is mad right now.,anger
In today's discussion the tone is unclear for this release.,confused
During this week the tone is burnout today.,stressed
In today's discussion This event was emotional and overwhelming for this case.,emotional
In this project She stayed calm during the crisis today.,calm
In this project We are thankful and grateful for your help right now.,grateful
During this week He remained polite under pressure today.,polite
In this project the tone is encouraged right now.,hopeful
From my perspective We are thankful and grateful for your help for this case.,grateful
In today's discussion There is constant drama around this issue today.,drama
During this week. the tone feels confused. We are thankful and grateful for your help for this release.,"confused,grateful"
In this project the tone is expecting for our team.,hopeful
During this week. the tone feels encouraged. This is a painful and sad moment. the tone feels overreaction right now.,"drama,hopeful,sad"
From my perspective I am tensed and cannot relax right now.,tensed
In this project Your words were sweet and comforting for this release.,sweet
In today's discussion the tone is heartbroken for this case.,sad
In this project There is constant drama around this issue for our team.,drama
From my perspective. the tone feels confused. This event was emotional and overwhelming. I am stressed by constant pressure today.,"confused,emotional,stressed"
During this week the tone is deeply moved for our team.,emotional
During this week the tone is unclear for this case.,confused
In this project. Thank you for the polite response. the tone feels mixed for this release.,"confused,polite"
In today's discussion There is love and care in this message for this release.,love
In this situation The argument escalated into a fight today.,fight
In today's discussion the tone is chaotic for this release.,drama
During this week This week feels depressing and heavy for this release.,depressed
From my perspective The interaction was nice and respectful for our team.,nice
From my perspective I am grateful for your support right now.,grateful
During this week He remained polite under pressure right now.,polite
From my perspective the tone is thankful for our team.,grateful
During this week the tone is thank you for our team.,polite
During this week This process is frustrating and slow right now.,frustrated
In today's discussion the tone is peaceful for this release.,calm
From my perspective the tone is heartbroken for this release.,sad
In this situation. She stayed calm during the crisis. the tone feels nice. the tone feels scene for this case.,"calm,drama,nice"
During this week You handled this in a very nice way right now.,nice
In today's discussion the tone is expecting right now.,hopeful
During this week Your words were sweet and comforting today.,sweet
During this week. the tone feels thrilled. I am grateful for your support. the tone feels expecting today.,"grateful,hopeful,joy"
In today's discussion the tone is uncertain for this release.,worried
In this project I am tensed and cannot relax for our team.,tensed
In today's discussion the tone is depressed for our team.,depressed
During this week We are thankful and grateful for your help right now.,grateful
In this situation The interaction was nice and respectful for our team.,nice
In this project The interaction was nice and respectful for this release.,nice
From my perspective I am confused by conflicting instructions right now.,confused
In this situation The argument escalated into a fight for our team.,fight
From my perspective This workload is stressful and draining for our team.,stressed
In this situation There is constant drama around this issue right now.,drama
From my perspective I feel calm after the clarification today.,calm
In today's discussion. the tone feels thankful. This makes me angry and I want immediate action right now.,"anger,grateful"
In this situation There is love and care in this message today.,love
In this situation. the tone feels strained. This workload is stressful and draining for our team.,"stressed,tensed"
During this week the tone is romantic right now.,love
In this project the tone is uncertain for this release.,worried
In this situation. the tone feels promising. the tone feels blessed today.,"grateful,hopeful"
In today's discussion the tone is numb today.,depressed
During this week. the tone feels blessed. I am scared this situation may get worse for our team.,"fear,grateful"
In today's discussion. We remain hopeful about recovery. This result brings joy and excitement today.,"hopeful,joy"
From my perspective I am hopeful that this will improve for our team.,hopeful
In today's discussion I feel sick and weak today right now.,sick
During this week the tone is cry right now.,sad
From my perspective I became emotional while reading this today.,emotional
In this situation. I feel calm after the clarification. the tone feels pleasant today.,"calm,nice"
During this week They started a fight over a small issue right now.,fight
During this week. the tone feels tense. This update is confusing and incomplete for our team.,"confused,tensed"
From my perspective the tone is intense for this case.,emotional
From my perspective I am worried about the final result right now.,worried
In this situation I felt pure joy after hearing the news for our team.,joy
In today's discussion. the tone feels hopeless. the tone feels anxious for this case.,"depressed,worried"
From my perspective This workload is stressful and draining for this case.,stressed
During this week. the tone feels rage. I am confused by conflicting instructions right now.,"anger,confused"
In today's discussion I am worried about the final result for this release.,worried
In today's discussion the tone is friendly for this case.,nice
During this week The argument escalated into a fight today.,fight
From my perspective The interaction was nice and respectful for our team.,nice
During this week. the tone feels frustrated. the tone feels tender right now.,"frustrated,sweet"
In today's discussion the tone is nice right now.,nice
In this situation I am furious about the repeated failures and delays today.,anger
During this week. the tone feels grateful. the tone feels dramatic. This update is confusing and incomplete today.,"confused,drama,grateful"
In this situation the tone is mixed right now.,confused
During this week. the tone feels fear. the tone feels happy for this case.,"fear,joy"
During this week. the tone feels dramatic. the tone feels worried. the tone feels helpful today.,"drama,nice,worried"
During this week. I feel deeply sad about this loss. the tone feels hopeless for this case.,"depressed,sad"
From my perspective. the tone feels outraged. the tone feels thrilled right now.,"anger,joy"
From my perspective. the tone feels sweet. the tone feels hopeful right now.,"hopeful,sweet"
During this week I am tensed and cannot relax right now.,tensed
In this situation the tone is stiff for this case.,tensed
In this situation This makes me angry and I want immediate action for this release.,anger
During this week I am furious about the repeated failures and delays today.,anger
In this situation. We are thankful and grateful for your help. This result brings joy and excitement for this case.,"grateful,joy"
In this project. the tone feels peaceful. This process is frustrating and slow for our team.,"calm,frustrated"
In this project I feel deeply sad about this loss right now.,sad
From my perspective The patient looks sick and tired right now.,sick
In this situation the tone is emotional right now.,emotional
In this situation. the tone feels mixed. the tone feels expecting for our team.,"confused,hopeful"
In today's discussion the tone is composed today.,calm
During this week I am grateful for your support right now.,grateful
From my perspective. the tone feels deeply moved. the tone feels appreciate. I love how you supported me today for this case.,"emotional,grateful,love"
In this project The patient looks sick and tired right now.,sick
In this project I am scared this situation may get worse for this release.,fear
During this week the tone is ill for our team.,sick
In this project the tone is settled right now.,calm
From my perspective the tone is gentle for this release.,sweet
During this week. the tone feels overloaded. We remain hopeful about recovery for this release.,"hopeful,stressed"
In this project I feel depressed and disconnected for this release.,depressed
In today's discussion. the tone feels indebted. the tone feels love for this release.,"grateful,love"
From my perspective There is fear about what could happen next right now.,fear
In today's discussion This is a painful and sad moment for this release.,sad
In today's discussion the tone is argue right now.,fight
In this project He remained polite under pressure for this case.,polite
"From my perspective It felt gentle, warm, and sweet right now.",sweet
In this situation I am grateful for your support today.,grateful
From my perspective I am confused by conflicting instructions right now.,confused
In today's discussion the tone is delighted today.,joy
In today's discussion Thank you for the polite response today.,polite
During this week. They started a fight over a small issue. I feel deeply sad about this loss right now.,"fight,sad"
From my perspective the tone is nice for this case.,nice
During this week I am scared this situation may get worse for this case.,fear
In today's discussion the tone is attack right now.,fight
From my perspective the tone is tears today.,emotional
In today's discussion I became emotional while reading this right now.,emotional
From my perspective the tone is promising for this release.,hopeful
In this situation the tone is argue for this release.,fight
In this situation Your words were sweet and comforting for this case.,sweet
In this project I am scared this situation may get worse right now.,fear
In this situation I am furious about the repeated failures and delays for our team.,anger
In this project the tone is burnout today.,stressed
In today's discussion The discussion turned into unnecessary drama today.,drama
During this week the tone is courteous today.,polite
In this project. the tone feels blessed. the tone feels intense. I am worried about the final result for our team.,"emotional,grateful,worried"
In this situation This week feels depressing and heavy for this case.,depressed
In today's discussion I am furious about the repeated failures and delays right now.,anger
In today's discussion I became emotional while reading this right now.,emotional
During this week. the tone feels tensed. the tone feels intense. I am stressed by constant pressure for this release.,"emotional,stressed,tensed"
In this situation the tone is cherish right now.,love
From my perspective I felt pure joy after hearing the news for our team.,joy
From my perspective I am scared this situation may get worse for our team.,fear
In this project I feel deeply sad about this loss right now.,sad
"In this project It felt gentle, warm, and sweet for this release.",sweet
From my perspective They started a fight over a small issue today.,fight
From my perspective. the tone feels courteous. the tone feels deeply moved for our team.,"emotional,polite"
From my perspective. This workload is stressful and draining. I am worried about the final result today.,"stressed,worried"
During this week the tone is strained right now.,tensed
In this situation They started a fight over a small issue for our team.,fight
From my perspective I am furious about the repeated failures and delays for this release.,anger
In this project I love how you supported me today for our team.,love
In this situation. the tone feels appreciate. the tone feels stuck. the tone feels war for this release.,"fight,frustrated,grateful"
During this week the tone is overloaded for our team.,stressed
During this week. the tone feels exhausted. the tone feels polite. You handled this in a very nice way today.,"nice,polite,stressed"
During this week. the tone feels sorrow. the tone feels blessed for our team.,"grateful,sad"
During this week I am scared this situation may get worse right now.,fear
During this week the tone is sad for this release.,sad
From my perspective. the tone feels unclear. This makes me worried and uncertain right now.,"confused,worried"
In today's discussion. the tone feels burnout. She stayed calm during the crisis. the tone feels affection today.,"calm,love,stressed"
During this week. This workload is stressful and draining. the tone feels gentle. I felt pure joy after hearing the news right now.,"joy,stressed,sweet"
During this week. the tone feels furious. the tone feels polite for this release.,"anger,polite"
In today's discussion the tone is anxious for this case.,worried
From my perspective The room was tensed before the decision for this release.,tensed
From my perspective. He remained polite under pressure. I am stressed by constant pressure. She stayed calm during the crisis right now.,"calm,polite,stressed"
In this project. The argument escalated into a fight. the tone feels angry right now.,"anger,fight"
In today's discussion The room was tensed before the decision for this case.,tensed
During this week the tone is please today.,polite
In today's discussion the tone is puzzled right now.,confused
During this week the tone is puzzled right now.,confused
In this project You handled this in a very nice way right now.,nice
In this situation I feel deeply sad about this loss for this case.,sad
From my perspective The patient looks sick and tired today.,sick
During this week The interaction was nice and respectful right now.,nice
From my perspective the tone is clash for this case.,fight
During this week the tone is unwell for this case.,sick
In this project We are thankful and grateful for your help for our team.,grateful
In today's discussion This process is frustrating and slow for this release.,frustrated
In today's discussion the tone is numb for this release.,depressed
In this project I feel calm after the clarification for this case.,calm
In today's discussion the tone is cherish for our team.,love
In this project I feel sick and weak today today.,sick
From my perspective. the tone feels unwell. I am tensed and cannot relax for this release.,"sick,tensed"
During this week the tone is pressure for this case.,stressed
In this project You handled this in a very nice way for this release.,nice
In today's discussion. This update is confusing and incomplete. the tone feels chaotic today.,"confused,drama"
In today's discussion We are thankful and grateful for your help today.,grateful
During this week the tone is tense for this case.,tensed
During this week. She stayed calm during the crisis. the tone feels nice for this release.,"calm,nice"
In this situation the tone is nice for this release.,nice
In this situation I am frustrated by repeated blockers for our team.,frustrated
During this week the tone is irritated right now.,frustrated
In this project the tone is unclear for this case.,confused
From my perspective the tone is overloaded for this release.,stressed
In this project They started a fight over a small issue for this release.,fight
In this project I am scared this situation may get worse for this case.,fear
During this week the tone is unclear right now.,confused
In this situation the tone is blocked for this case.,frustrated
During this week There is constant drama around this issue for our team.,drama
In this situation The interaction was nice and respectful right now.,nice
In this project the tone is scene for this release.,drama
In today's discussion. the tone feels adorable. the tone feels unsafe. I am furious about the repeated failures and delays for our team.,"anger,fear,sweet"
In today's discussion He remained polite under pressure for our team.,polite
In this situation This update is confusing and incomplete for this release.,confused
In this project I feel depressed and disconnected for this release.,depressed
In today's discussion I am tensed and cannot relax for this release.,tensed
During this week the tone is annoyed for this case.,anger
In this project I love how you supported me today for this case.,love
In this situation the tone is rage right now.,anger
In this situation I am scared this situation may get worse today.,fear
During this week I am confused by conflicting instructions right now.,confused
In today's discussion The discussion turned into unnecessary drama today.,drama
In this project the tone is stiff today.,tensed
In this situation the tone is strained for this release.,tensed
From my perspective The room was tensed before the decision for this case.,tensed
In this situation the tone is indebted right now.,grateful
From my perspective There is fear about what could happen next for this case.,fear
From my perspective. I am frustrated by repeated blockers. I felt pure joy after hearing the news today.,"frustrated,joy"
In this project. I am confused by conflicting instructions. the tone feels conflict today.,"confused,fight"
In this situation the tone is friendly right now.,nice
During this week the tone is depressed for this release.,depressed
From my perspective. the tone feels down. the tone feels fight today.,"fight,sad"
In this situation I am confused by conflicting instructions today.,confused
"In this situation It felt gentle, warm, and sweet for this case.",sweet
In today's discussion. the tone feels calm. The discussion turned into unnecessary drama today.,"calm,drama"
In today's discussion There is fear about what could happen next for this case.,fear
In this situation I am tensed and cannot relax for this release.,tensed
In today's discussion. the tone feels dramatic. Thank you for the polite response for this case.,"drama,polite"
During this week I am worried about the final result today.,worried
From my perspective. She stayed calm during the crisis. The interaction was nice and respectful. This week feels depressing and heavy for this case.,"calm,depressed,nice"
In this project. the tone feels gentle. I am hopeful that this will improve. the tone feels uncertain for this release.,"hopeful,sweet,worried"
From my perspective the tone is encouraged today.,hopeful
In this situation I am grateful for your support for this case.,grateful
In this situation I feel depressed and disconnected for our team.,depressed
In today's discussion The discussion turned into unnecessary drama today.,drama
In this project I feel depressed and disconnected right now.,depressed
In today's discussion the tone is good for this case.,nice
During this week. the tone feels sweet. The argument escalated into a fight for this release.,"fight,sweet"
During this week. the tone feels unclear. the tone feels angry today.,"anger,confused"
From my perspective the tone is helpful right now.,nice
During this week. the tone feels scene. the tone feels tender right now.,"drama,sweet"
During this week the tone is furious for this release.,anger
"In today's discussion It felt gentle, warm, and sweet for this release.",sweet
In this situation. the tone feels unclear. the tone feels uneasy. You handled this in a very nice way for our team.,"confused,nice,worried"
"In today's discussion It felt gentle, warm, and sweet today.",sweet
From my perspective the tone is adore for this case.,love
During this week This makes me angry and I want immediate action for our team.,anger
In this project the tone is strained right now.,tensed
In this situation the tone is composed today.,calm
From my perspective I am hopeful that this will improve for our team.,hopeful
In this project Your words were sweet and comforting for this case.,sweet
In this project the tone is strained today.,tensed
From my perspective I am furious about the repeated failures and delays for this case.,anger
In today's discussion I am frustrated by repeated blockers for our team.,frustrated
From my perspective the tone is promising today.,hopeful
During this week They started a fight over a small issue for this release.,fight
In today's discussion. the tone feels mixed. the tone feels appreciate for this case.,"confused,grateful"
In this project There is love and care in this message for this case.,love
In this situation I feel deeply sad about this loss for this case.,sad
In today's discussion I am worried about the final result for this release.,worried
In this project You handled this in a very nice way for this release.,nice
In this project I feel deeply sad about this loss for this case.,sad
In today's discussion We remain hopeful about recovery for this release.,hopeful
In today's discussion. This event was emotional and overwhelming. the tone feels love for this release.,"emotional,love"
In today's discussion the tone is heartbroken right now.,sad
In today's discussion the tone is appreciate for this case.,grateful
In today's discussion the tone is kindhearted for our team.,sweet
From my perspective. the tone feels helpful. I am worried about the final result right now.,"nice,worried"
During this week We remain hopeful about recovery for this case.,hopeful
During this week Thank you for the polite response today.,polite
In this project. I am worried about the final result. This week feels depressing and heavy today.,"depressed,worried"
In this situation the tone is blessed right now.,grateful
In this project. I am stressed by constant pressure. the tone feels adorable for our team.,"stressed,sweet"
In this situation the tone is promising for this case.,hopeful
From my perspective There is love and care in this message today.,love
In today's discussion This workload is stressful and draining today.,stressed
During this week. the tone feels sad. I am confused by conflicting instructions. the tone feels scared today.,"confused,fear,sad"
From my perspective I am stressed by constant pressure today.,stressed
In today's discussion. I feel depressed and disconnected. I am grateful for your support. I am frustrated by repeated blockers for this release.,"depressed,frustrated,grateful"
In today's discussion the tone is empty for our team.,depressed
In this project. the tone feels unwell. the tone feels settled. the tone feels uneasy for this case.,"calm,sick,worried"
From my perspective the tone is scene for this release.,drama
In this project She stayed calm during the crisis right now.,calm
During this week the tone is helpful for this case.,nice
From my perspective This update is confusing and incomplete right now.,confused
During this week. You handled this in a very nice way. We are thankful and grateful for your help. They started a fight over a small issue today.,"fight,grateful,nice"
In today's discussion the tone is irritated today.,frustrated
In today's discussion This process is frustrating and slow for this case.,frustrated
In this situation the tone is sorrow for our team.,sad
In this project the tone is overloaded for this case.,stressed
In this situation We remain hopeful about recovery for this release.,hopeful
In this project We are thankful and grateful for your help for this case.,grateful
From my perspective. the tone feels chaotic. the tone feels optimistic for this case.,"drama,hopeful"
During this week We are thankful and grateful for your help for our team.,grateful
In this situation This makes me worried and uncertain for our team.,worried
During this week I became emotional while reading this right now.,emotional
In this situation He remained polite under pressure for our team.,polite
In this project I feel sick and weak today right now.,sick
From my perspective the tone is uneasy right now.,worried
In this situation I feel sick and weak today for this release.,sick
During this week the tone is anxious for this release.,worried
In this situation This process is frustrating and slow for this release.,frustrated
During this week The room was tensed before the decision today.,tensed
In this situation She stayed calm during the crisis for this case.,calm
In this project the tone is uncertain today.,worried
In today's discussion I am furious about the repeated failures and delays right now.,anger
From my perspective This week feels depressing and heavy right now.,depressed
During this week the tone is stuck for this case.,frustrated
In this situation the tone is clash for our team.,fight
In this situation This event was emotional and overwhelming right now.,emotional
From my perspective I am frustrated by repeated blockers for our team.,frustrated
During this week Thank you for the polite response for our team.,polite
In this project. the tone feels happy. the tone feels chaotic today.,"drama,joy"
During this week. the tone feels grateful. The interaction was nice and respectful. the tone feels delighted today.,"grateful,joy,nice"
From my perspective She stayed calm during the crisis today.,calm
In this situation the tone is ill for our team.,sick
In this project This makes me worried and uncertain right now.,worried
In this project the tone is clash right now.,fight
From my perspective You handled this in a very nice way for our team.,nice
During this week the tone is attack right now.,fight
During this week. the tone feels sorrow. the tone feels furious. the tone feels promising today.,"anger,hopeful,sad"
In this situation. the tone feels settled. the tone feels depressed for our team.,"calm,depressed"
In this situation the tone is ill today.,sick
In this project I am furious about the repeated failures and delays today.,anger
From my perspective. the tone feels pain. There is constant drama around this issue. There is fear about what could happen next for this case.,"drama,fear,sick"
From my perspective. This is a painful and sad moment. the tone feels stuck. the tone feels friendly for this case.,"frustrated,nice,sad"
In this project I feel calm after the clarification for our team.,calm
During this week The patient looks sick and tired for our team.,sick
In this project the tone is pressure right now.,stressed
In today's discussion. the tone feels kindhearted. You handled this in a very nice way for our team.,"nice,sweet"
In this project the tone is joy today.,joy
In this project We remain hopeful about recovery for our team.,hopeful
During this week He remained polite under pressure for our team.,polite
During this week This update is confusing and incomplete today.,confused
In this project the tone is attack for this case.,fight
In today's discussion The argument escalated into a fight for this release.,fight
During this week This workload is stressful and draining today.,stressed
In this situation. the tone feels steady. the tone feels affection for this case.,"calm,love"
In today's discussion the tone is pain for this release.,sick
In this situation. the tone feels pain. the tone feels steady right now.,"calm,sick"
In this situation. There is constant drama around this issue. I am stressed by constant pressure right now.,"drama,stressed"
During this week. The room was tensed before the decision. the tone feels courteous. the tone feels uncertain today.,"polite,tensed,worried"
From my perspective. the tone feels fever. This event was emotional and overwhelming for this case.,"emotional,sick"
In this project Your words were sweet and comforting for our team.,sweet
In this situation the tone is confused for this release.,confused
From my perspective the tone is good for this case.,nice
In this project I feel calm after the clarification for this case.,calm
In this situation the tone is tears for this case.,emotional
In this situation Thank you for the polite response for our team.,polite
In this situation I am furious about the repeated failures and delays for this case.,anger
In this situation. the tone feels mad. the tone feels adore. the tone feels unwell for this release.,"anger,love,sick"
In this project This result brings joy and excitement today.,joy
From my perspective the tone is rage for our team.,anger
During this week. the tone feels appreciate. the tone feels good today.,"grateful,nice"
In this situation the tone is encouraged today.,hopeful
In this project The patient looks sick and tired for this case.,sick
In today's discussion. They started a fight over a small issue. We are thankful and grateful for your help for this case.,"fight,grateful"
In this project. the tone feels unsafe. the tone feels appreciate for our team.,"fear,grateful"
In this project. I became emotional while reading this. This makes me worried and uncertain today.,"emotional,worried"
In this situation I am scared this situation may get worse for our team.,fear
During this week I am worried about the final result for our team.,worried
In this project. This is a painful and sad moment. the tone feels calm for this release.,"calm,sad"
In this project. the tone feels thankful. the tone feels peaceful for this release.,"calm,grateful"
In this situation. the tone feels love. The argument escalated into a fight for this release.,"fight,love"
During this week There is constant drama around this issue today.,drama
From my perspective the tone is concerned today.,worried
During this week Thank you for the polite response for this release.,polite
In this project I am tensed and cannot relax for our team.,tensed
During this week the tone is adorable right now.,sweet
From my perspective I am grateful for your support right now.,grateful
In today's discussion This workload is stressful and draining for this release.,stressed
During this week I became emotional while reading this for this case.,emotional
In today's discussion the tone is attack right now.,fight
In this project. Thank you for the polite response. The argument escalated into a fight for this case.,"fight,polite"
In this project the tone is conflict for this release.,fight
In this project the tone is argue for this case.,fight
During this week. the tone feels please. I became emotional while reading this. the tone feels worried right now.,"emotional,polite,worried"
During this week He remained polite under pressure today.,polite
In this project the tone is friendly for this case.,nice
In this project This result brings joy and excitement for our team.,joy
From my perspective the tone is expecting for this release.,hopeful
In today's discussion the tone is pleasant right now.,nice
In today's discussion. the tone feels thank you. the tone feels deeply moved. I am worried about the final result for this release.,"emotional,polite,worried"
In this situation This is a painful and sad moment for this release.,sad
In this situation. the tone feels kindhearted. the tone feels worried today.,"sweet,worried"
In this situation The argument escalated into a fight for this case.,fight
From my perspective This update is confusing and incomplete today.,confused
During this week the tone is please for this case.,polite
In today's discussion. the tone feels joy. the tone feels worthless. This makes me worried and uncertain right now.,"depressed,joy,worried"
In today's discussion I am frustrated by repeated blockers today.,frustrated
In this project. the tone feels overreaction. I am confused by conflicting instructions. the tone feels peaceful for this case.,"calm,confused,drama"
From my perspective The interaction was nice and respectful today.,nice
In this project. the tone feels scared. This makes me worried and uncertain for our team.,"fear,worried"
From my perspective the tone is irritated for our team.,frustrated
In today's discussion He remained polite under pressure right now.,polite
In this situation The room was tensed before the decision right now.,tensed
In today's discussion I am grateful for your support for this case.,grateful
From my perspective This result brings joy and excitement for our team.,joy
In today's discussion. the tone feels chaotic. the tone feels optimistic for this case.,"drama,hopeful"
From my perspective I became emotional while reading this for this release.,emotional
In today's discussion the tone is worthless for our team.,depressed
In this situation. The patient looks sick and tired. the tone feels adorable for this case.,"sick,sweet"
In this project The discussion turned into unnecessary drama today.,drama
In this situation I am hopeful that this will improve right now.,hopeful
In this project. I feel depressed and disconnected. the tone feels attack. the tone feels uneasy today.,"depressed,fight,worried"
In today's discussion I feel depressed and disconnected for our team.,depressed
During this week I am frustrated by repeated blockers for this release.,frustrated
During this week The room was tensed before the decision for our team.,tensed
During this week I am confused by conflicting instructions for this release.,confused
During this week. the tone feels uneasy. the tone feels overloaded for this release.,"stressed,worried"
During this week. the tone feels exhausted. the tone feels tense for this case.,"stressed,tensed"
In today's discussion the tone is tensed for this release.,tensed
In this situation the tone is puzzled right now.,confused
In this project This process is frustrating and slow for this case.,frustrated
From my perspective. the tone feels respectful. the tone feels unclear. They started a fight over a small issue for this case.,"confused,fight,polite"
In today's discussion There is fear about what could happen next today.,fear
From my perspective the tone is scene for this case.,drama
In this project the tone is exhausted for this release.,stressed
During this week. the tone feels afraid. I am worried about the final result for this release.,"fear,worried"
In today's discussion. I feel calm after the clarification. the tone feels gentle right now.,"calm,sweet"
During this week There is fear about what could happen next for this release.,fear
In this situation the tone is attack for our team.,fight
In today's discussion I felt pure joy after hearing the news today.,joy
In this situation This week feels depressing and heavy for this case.,depressed
In today's discussion There is love and care in this message right now.,love
In today's discussion I am stressed by constant pressure for our team.,stressed
In this project This update is confusing and incomplete for our team.,confused
In this situation This event was emotional and overwhelming for our team.,emotional
During this week. I feel depressed and disconnected. She stayed calm during the crisis for this release.,"calm,depressed"
In today's discussion We remain hopeful about recovery for our team.,hopeful
From my perspective I am confused by conflicting instructions for this case.,confused
From my perspective I became emotional while reading this for this case.,emotional
In today's discussion There is love and care in this message today.,love
From my perspective. I am furious about the repeated failures and delays. the tone feels thankful for this case.,"anger,grateful"
In this project the tone is empty for our team.,depressed
From my perspective the tone is puzzled right now.,confused
From my perspective the tone is tense for our team.,tensed
In this project. the tone feels appreciate. the tone feels promising. The discussion turned into unnecessary drama for our team.,"drama,grateful,hopeful"
From my perspective. the tone feels blocked. This week feels depressing and heavy for our team.,"depressed,frustrated"
In today's discussion I am scared this situation may get worse for this case.,fear
In today's discussion the tone is steady for our team.,calm
In this project I am furious about the repeated failures and delays for this case.,anger
During this week I am tensed and cannot relax for this case.,tensed
In this project the tone is thankful today.,grateful
In this project. This workload is stressful and draining. I am frustrated by repeated blockers for this case.,"frustrated,stressed"
In today's discussion. The discussion turned into unnecessary drama. the tone feels unwell. the tone feels worthless for this release.,"depressed,drama,sick"
In today's discussion Thank you for the polite response today.,polite
In this situation She stayed calm during the crisis for this case.,calm
From my perspective This workload is stressful and draining for this case.,stressed
In this situation There is fear about what could happen next for this case.,fear
During this week the tone is indebted for this case.,grateful
In this project the tone is gentle today.,sweet
During this week. The patient looks sick and tired. the tone feels please today.,"polite,sick"
From my perspective. the tone feels heartbroken. The interaction was nice and respectful today.,"nice,sad"
From my perspective the tone is sorrow for this release.,sad
From my perspective the tone is fever today.,sick
In this project This workload is stressful and draining for this case.,stressed
In this project I feel deeply sad about this loss for this case.,sad
During this week. the tone feels blessed. the tone feels lost right now.,"confused,grateful"
From my perspective. I am frustrated by repeated blockers. the tone feels puzzled. the tone feels war for this case.,"confused,fight,frustrated"
In this project the tone is nice right now.,nice
In today's discussion I am hopeful that this will improve for this release.,hopeful
In today's discussion the tone is puzzled for this release.,confused
From my perspective the tone is rage for our team.,anger
In this situation I am stressed by constant pressure for our team.,stressed
In this project I am grateful for your support today.,grateful
"From my perspective It felt gentle, warm, and sweet for this release.",sweet
During this week I feel deeply sad about this loss today.,sad
In this project the tone is affection right now.,love
In this project the tone is delighted right now.,joy
In today's discussion This event was emotional and overwhelming right now.,emotional
During this week the tone is blocked for our team.,frustrated
In today's discussion. the tone feels happy. the tone feels intense today.,"emotional,joy"
During this week He remained polite under pressure for our team.,polite
From my perspective the tone is concerned right now.,worried
From my perspective I feel calm after the clarification for this release.,calm
In this situation This makes me worried and uncertain right now.,worried
From my perspective the tone is thankful today.,grateful
During this week I am tensed and cannot relax for this release.,tensed
